push,puʃ,"sự xô, sự đẩy; cú đẩy","sự thúc đẩy, sự giúp sức (ai tiến lên)","(kiến trúc) sức đẩy lên, sức đỡ lên (của vòng...)"
sooner,'su:nə,"(từ Mỹ,nghĩa Mỹ),  (từ lóng) người được thế trước (được lợi thế vì tranh thủ làm trước)",,
shelf,ʃelf,giá sách; ngăn sách,cái xích đông,đá ngầm; bãi cạn
resonance,'reznəns,tiếng âm vang; sự dội tiếng,(vật lý) cộng hưởng,
poorly,'puəli,"nghèo nàn, thiếu thốn","xoàng, tồi","không khoẻ, khó ở"
cry,krai,"tiếng kêu, tiêng la, tiếng hò hét, tiếng hò reo (vì đau đớn, sợ, mừng rỡ...)",tiếng rao hàng ngoài phố,"lời hô, lời kêu gọi"
pig,pig,lợn heo,thịt lợn; thịt lợn sữa,(thông tục) người phàm ăn; người bẩn thỉu; người khó chịu; người thô tục; người quạu cọ
notification,",noutifi'keiʃn","sự báo, sự khai báo; sự thông báo",,
sing,siɳ,"hát, ca hát",ca ngợi,"hát, hót"
favorite,'feivərit,"được mến chuộng, được ưa thích",người được ưa chuộng; vật được ưa thích,"(thể dục,thể thao) (the favourite) người dự cuộc ai cũng chắc sẽ thắng; con vật (ngựa, chó...) dự cuộc ai cũng chắc sẽ thắng"
six,siks,sáu,số sáu,(số nhiều) nếu số sáu (cứ 6 cây được một pao)
momentum,mou'mentəm,"(vật lý) động lượng, xung lượng",(thông tục) đà,được tăng cường mạnh lên
contest,kən'test,"cuộc tranh luận, cuộc tranh cãi","(thể dục,thể thao) cuộc thi; trận đấu, trận giao tranh","cuộc chiến đấu, cuộc đấu tranh"
smoking,,"sự hút thuốc; hành động hút thuốc, thói quen hút thuốc",,
vacation,və'keiʃn,"sự bỏ trống, sự bỏ không","sự bỏ, sự thôi","kỳ nghỉ hè, kỳ nghỉ lễ"
handsome,'hænsəm,đẹp,"tốt đẹp, rộng rãi, hào phóng, hậu hĩ","lớn, đáng kể"
hide,haid,"da sống (chưa thuộc, mới chỉ cạo và rửa)",(đùa cợt) da người,không có bất cứ một dấu vết gì
shopping,'ʃɔpiɳ,sự đi mua hàng,,
exciting,ik'saitiɳ,"kích thích, kích động","hứng thú, lý thú, hồi hộp; làm say mê, làm náo động",(kỹ thuật) để kích thích
joining,,sự nối; chỗ nối,,
kid,kid,con dê non,"da dê non (làm găng tay, đóng giày...)","(từ lóng) đứa trẻ con, thằng bé"
ate,i:t,"ăn; (từ Mỹ,nghĩa Mỹ) ăn cơm","ăn mòn, ăn thủng, làm hỏng",nấu cơm (cho ai)
riding,'raidiɳ,môn cưỡi ngựa,"sự đi xe (xe lửa, xe buýt, xe điện...); sự đi xe đạp",sự cưỡi lên (lưng...)
socialism,'souʃəlizm,chủ nghĩa xã hội,,
dirty,'də:ti,"bẩn thỉu, dơ bẩn, dơ dáy; cáu ghét, cáu bẩn, đầy bùn bẩn","có mưa gió sụt sùi, nhớp nháp bẩn thỉu; xấu (thời tiết)",không sáng (màu sắc)
tooth,tu:θ,răng,răng (của các đồ vật),(xem) arm
lucky,'lʌki,"đỏ, gặp may, may mắn, gặp vận may, hạnh phúc","đem lại may mắn, đem lại kết quả tốt, mang điềm lành","may mà đúng, may mà được"
coating,'koutiɳ,lần phủ ngoài; lớp phủ ngoài,vải may áo choàng,
knee,ni:,đầu gối,chỗ đầu gối quần,"(kỹ thuật) khuỷu, khớp xoay"
aging,'eidʤiɳ,sự hoá già,,
ticket,'tikit,vé,"giấy (giấy phép, giấy mời...)","bông, phiếu"
concert,kən'sə:t,"sự phối hợp, sự hoà hợp",buổi hoà nhạc,"dự tính, sắp đặt; bàn định, bàn tính; phối hợp"
excited,ik'saitid,"bị kích thích, bị kích động; sôi nổi",hãy bình tĩnh! đừng nóng mà!,
tonight,tə'nait,night),"đêm nay, tối nay",
grandfather,"'grænd,fɑ:ðə",ông,đồng hồ to để đứng,
cake,keik,bánh ngọt,thức ăn đóng thành bánh,miếng bánh
birthday,'bə:θdei,ngày sinh; lễ sinh nhật,(đùa cợt) da (người),
hungry,'hʌɳgri,"đói, cảm thấy đói, ra vẻ đói ăn","làm cho thấy đói, gợi thèm (ăn)","(nghĩa bóng) khao khát, thèm khát, ham muốn"
scientist,'saiəntist,nhà khoa học; người giỏi về khoa học tự nhiên,người theo thuyết khoa học vạn năng,
borrowed,'bɔroud,"vay, mượn",,
sized,,(trong từ ghép) có quy mô như thế nào đó,,
photos,,"vt của photograph (ảnh, bức ảnh)",,
blank,blæɳk,"để trống, để trắng (tờ giấy...)","trống rỗng; ngây ra, không có thần (cái nhìn...)",không nạp chì (đạn); giả
shoe,ʃu:,giày,sắt bị móng (ngựa...),"miếng bịt (miếng sắt bị chân bàn, ghế)"
antibody,"'ænti,bɔdi",thể kháng,,
dismissal,dis'misəl,sự giải tán,sự cho đi,"sự đuổi đi, sự thải hồi, sự sa thải (người làm...)"
inlet,'inlet,vịnh nhỏ; lạch (giữa hai hòn đảo),"vật khảm, vật dát; vật lắp vào, vật lồng vào","(từ Mỹ,nghĩa Mỹ) lối vào"
ghost,goust,ma,gầy như ma,"bóng mờ, nét thoáng một chút"
notify,'noutifai,"báo, khai báo; thông báo, cho hay, cho biết",,
smart,smɑ:t,"sự đau đớn, sự nhức nhối; nỗi đau khổ","đau đớn, nhức nhối, đau khổ","bị trừng phạt vì, chịu những hậu quả của"
smell,smel,khứu giác,"sự ngửi, sự hít",mùi
tenure,'tenjuə,"đất cho làm rẽ, đất phát canh","sự chiếm hữu, sự hưởng dụng; thời gian chiếm hữu, thời gian hưởng dụng, nhiệm kỳ",thái ấp
flew,flew,con ruồi,ruồi (làm mồi câu); ruồi giả (làm mồi câu cá),"(nông nghiệp) bệnh do ruồi, sâu bệnh"
ride,raid,"sự đi chơi, cuộc đi chơi (bằng ngựa, xe đạp, xe ô tô, xe buýt, xe lửa...)",đường xe ngựa đi qua rừng,(quân sự) lớp kỵ binh mới tuyển
eaten,i:t,"ăn; (từ Mỹ,nghĩa Mỹ) ăn cơm","ăn mòn, ăn thủng, làm hỏng",nấu cơm (cho ai)
presumption,pri'zʌmpʃn,"tính tự phụ, tính quá tự tin","sự cho là đúng, sự cầm bằng, sự đoán chừng; điều cho là đúng, điều cầm bằng, điều đoán chừng; căn cứ để cho là đúng, căn cứ để cầm bằng, căn cứ để đoán chừng",
baseball,'beisbɔ:l,"(thể dục,thể thao) bóng chày",,
wash,wɔʃ,"sự tắm rửa, sự tắm gội, sự rửa ráy",sự rửa (vật gì),"sự giặt, sự giặt giũ; quần áo giặt; nơi giặt"
grandmother,"'græn,mʌðə",bà,"nuông chiều, nâng niu (như bà đối với cháu)",
singer,'siɳə,"người hát, ca sĩ",chim hót (loài chim hay hót),"nhà thơ, thi sĩ"
under,'ʌndə,"dưới, ở dưới","dưới, chưa đầy, chưa đến","dưới (sự lãnh đạo, quyền...)"
neighbor,,như neighbour,,
him,him,"nó, hắn, ông ấy, anh ấy",,
weekend,,cuối tuần (thứ bảy và chủ nhật),"đi nghỉ cuối tuần, đi thăm cuối tuần",
excuse,iks'kju:z,lời xin lỗi; lý do để xin lỗi,lời bào chữa; lý do để bào chữa,"sự miễn cho, sự tha cho (nhiệm vụ gì)"
chocolate,'tʃɔkəlit,sôcôla,kẹo sôcôla,nước sôcôla
tenth,tenθ,thứ mười,một phần mười,người thứ mười; vật thứ mười; vật thứ mười; ngày mồng mười
rode,roud,bay buổi chiều về phía đất liền (chim trời),bay buổi chiều trong mùa sinh sản (chim dẽ gà),
funny,'fʌni,"buồn cười, ngồ ngộ, khôi hài","là lạ, khang khác",(thông tục) lời nói buồn cười; câu chuyện khôi hài
dish,diʃ,đĩa (đựng thức ăn),móm ăn (đựng trong đĩa),vật hình đĩa
legacy,'legəsi,"tài sản kế thừa, gia tài, di sản",,
impairment,im'peəmənt,"sự làm suy yếu, sự làm sút kém; sự suy yếu, sự sút kém","sự làm hư hỏng, sự làm hư hại; sự hư hỏng, sự hư hại",
ruler,'ru:lə,"người thống trị, người chuyên quyền; vua, chúa",cái thước kẻ,thợ kẻ giấy; máy kẻ giấy
balls,,hột dái,"chuyện vớ vẩn, nhảm nhí",
celebration,",seli'breiʃn",sự kỷ niệm; lễ kỷ niệm,"sự tán dương, sự ca tụng",
stopping,,sự trám răng; chất trám răng,,
nationality,",næʃə'næliti",tính chất dân tộc; tính chất quốc gia,dân tộc; quốc gia,quốc tịch
fifty,'fifti,năm mươi,"bao nhiêu là, vô số",số năm mươi
yearly,'jə:li,hằng năm,"kéo dài một năm, suốt một năm",
finishing,'finiʃiɳ,(kỹ thuật) sự sang sửa lần cuối,(nghành dệt) sự hồ (vải),"kết thúc, kết liễu"
snake,sneik,con rắn,người nham hiểm nhẫn tâm,mê sảng rượu
beta,'bi:tə,Bêta (chữ cái Hy lạp),hơn loại hai một ít,kém loại hai một ít
readiness,'redinis,sự sẵn sàng (làm việc gì),"sự sẵn lòng, thiện ý","sự lưu loát, sự nhanh nhẹn, sự lanh lợi"
borrow,'bɔrou,"vay, mượn","theo, mượn",
bathroom,,thành ngữ bath,bathroom,"buồng tắm, nhà vệ sinh"
airplane,'eəplein,"(từ Mỹ,nghĩa Mỹ) máy bay, tàu bay",,
seventy,'sevnti,bay mươi,số bảy mươi,(số nhiều) (the seventies) những năm bảy mươi (từ 70 đến 70 của (thế kỷ)); những năm tuổi thọ trên 70 (từ 70 đến 79)
loving,'lʌviɳ,"thương mến, thương yêu, âu yếm; có tình",,
practiced,,"có kinh nghiệm, chuyên gia (đặc biệt là do luyện tập nhiều)",,
est,,giờ chuẩn ở miền Đông (Eastern standard time),phương pháp trị liệu bằng xung điện (Electro-shock treatment),
lonely,'lounli,"vắng vẻ, hiu quạnh","cô đơn, cô độc, bơ vơ",
bean,bi:n,đậu,hột (cà phê),(từ lóng) cái đầu
kiss,kis,cái hôn,sự chạm nhẹ (của hai hòn bi-a đang lăn),kẹo bi đường
pencil,'pensl,bút chì,vật hình bút chì,"(vật lý); (toán học) hình chùm nhọn, chùm"
cinema,'sinimə,"rạp xi nê, rạp chiếu bóng","the cinema điện ảnh, xi nê, phim chiếu bóng",nghệ thuật điện ảnh; kỹ thuật điện ảnh
drinks,,liên quan đến rượu,,
restrictive,ris'triktiv,"hạn chế, giới hạn, thu hẹp",,
dancing,'dɑ:nsiɳ,"sự nhảy múa, sự khiêu vũ","đang nhảy múa, rung rinh, bập bềnh",
pop,pɔp,(thông tục) buổi hoà nhạc bình dân,đĩa hát bình dân; bài hát bình dân,"(từ Mỹ,nghĩa Mỹ) (như) poppa"
clever,'klevə,"lanh lợi, thông minh","giỏi, tài giỏi, khéo léo, lành nghề","thần tình, tài tình, hay; khôn ngoan, lâu"
washing,'wɔʃiɳ,"sự tắm rửa, sự tắm gội, sự rửa ráy",sự giặt giũ,quần áo giặt
sang,siɳ,"hát, ca hát",ca ngợi,"hát, hót"
sixteenth,'siks'ti:nθ,thứ mười sáu,một phần mười sáu,người thứ mười sáu; vật thứ mười sáu; người mười sáu
denote,di'nout,"biểu hiện, biểu thị, chứng tỏ, chỉ rõ",có nghĩa là,bao hàm (nghĩa)
shower,'ʃouə,"người chỉ, người cho xem, người dẫn; người trưng bày",trận mưa rào; trận mưa đá,"trận mưa (đạn, đá...)"
notation,nou'teiʃn,ký hiệu,"(từ Mỹ,nghĩa Mỹ) lời chú thích, lời chú giải, lời ghi ch",
wake,weik,(hàng hải) lằn tàu,"theo chân ai, theo liền ngay sau ai",(nghĩa bóng) theo gương ai
injustice,in'dʤʌstis,sự bất công,việc bất công,
saturation,",sætʃə'reiʃn","sự no, sự bão hoà, trạng thái bão hoà; độ bão hoà","sự tẩm, sự thấm đẫm",
seven,'sevn,bảy,số bảy,nhóm bảy người
celebrated,'selibreitid,"nỗi tiếng, trứ danh, lừng danh",,
oversight,'ouvəsaid,sự quên sót; điều lầm lỗi,sự bỏ đi,"sự giám sát, sự giám thị"
email,,thư điện tử,,
incapable,in'keipəbl,"không đủ khả năng, bất tài, bất lực",(+ of) không thể,(pháp lý) không đủ tư cách
breadth,bredθ,"bề ngang, bề rộng",khổ (vải),"sự rông rãi, sự phóng khoáng (quan điểm, tư tưởng...)"
bodily,'bɔdili,"(thuộc) thể xác, (thuộc) xác thịt",đích thân,"toàn thể, tất cả"
forgot,fə'get,"quên, không nhớ đến","coi thường, coi nhẹ",quên
realism,'riəlizm,chủ nghĩa hiện thực,(triết học) thuyết duy thực,
postwar,,"hậu chiến; tồn tại sau chiến tranh, xảy ra sau chiến tranh",,
eight,eit,tám,số tám,hình con số tám
sunshine,'sʌnʃain,"ánh sáng mặt trời, ánh nắng","sự vui tươi, sự hớn hở, sự tươi sáng",(định ngữ) nắng
wheeler,'wi:l,ngựa buộc gần bánh xe (trong một cỗ xe),(kỹ thuật) thợ đóng xe,
ugly,'ʌgli,"xấu, xấu xí","xấu, xấu xa, khó chịu; đáng sợ",
toilet,'tɔilit,sự trang điểm,"bàn phấn, bàn trang điểm","cách ăn mặc, phục sức"
twenty,'twenti,hai mươi,tôi đã nói với nó nhiều lần,số hai mươi
missionary,'miʃnəri,(thuộc) hội truyền giáo; có tính chất truyền giáo,người truyền giáo,
hardness,'hɑ:dnis,"sự cứng rắn, tính cứng rắn; độ cứng, độ rắn","tính khắc nghiệt (thời tiết, khí hậu)",
ten,ten,"mười, chục",số mười,"nhóm mười, bộ mười"
managerial,",mænə'dʤiəriəl","(thuộc) người quản lý, (thuộc) giám đốc; (thuộc) ban quản trị",,
casing,'keisiɳ,"vỏ bọc, bao",,
collectively,,"chung, tập thể",,
breathe,bri:ð,"hít, thở","thốt ra, nói lộ ra",thở ra
hers,hə:z,"cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy",,
periodically,,một cách định kỳ,,
okay,,"sự đồng ý, sự tán thành",interj,"vâng, được lắm"
grounded,,(Tech) được nối với đất,,
behind,bi'haind,"sau, ở đằng sau","chậm, trễ","sau, ở đằng sau"
ware,weə,"đồ, vật chế tạo",(số nhiều) hàng hoá,(thơ ca) (như) aware
schooling,'sku:liɳ,"sự dạy dỗ ở nhà trường, sự giáo dục ở nhà trường",tiền học phí ăn ở tại nhà trường,"(từ cổ,nghĩa cổ) sự trách phạt, sự thi hành kỷ luật"
headache,'hedeik,chứng nhức đầu,(thông tục) vấn đề hắc búa,
problematic,problematic,"còn phải bàn; không chắc, mơ hồ",,
repayment,ri:'peimənt,sự trả lại,"sự báo đáp, sự đền đáp",
borrowing,'bɔrouiɳ,sự vay mượn,,
couch,kautʃ,"trường kỷ, đi văng",giường,"hang (chồn, cáo...)"
jump,dʤʌmp,"sự nhảy, bước nhảy",sự giật mình; cái giật mình,(the jumps) mê sảng rượu
drank,driɳk,"đồ uống, thức uống",rượu mạnh ((cũng) strong drink),"hớp, ngụm; cốc, ly (rượu, nước giải khát)"
borrower,'bɔrouə,"người đi vay, người đi mượn",,
ratification,",rætifi'keiʃn","sự thông qua, sự phê chuẩn",,
pants,pænts,quần lót dài,"(từ Mỹ,nghĩa Mỹ) quần dài",
candy,'kændi,"(từ Mỹ,nghĩa Mỹ) kẹo","(từ Mỹ,nghĩa Mỹ),  (từ lóng) côcain",làm thành đường phèn
unjust,'ʌn'dʤʌst,bất công,"phi lý, trái lẽ, bất chính, không chính đáng","không đúng, sai"
nos,,hệ điều hành mạng,,
swimming,'swimiɳ,sự bơi,bơi,dùng để bơi
coloured,'kʌləd,có màu sắc; mang màu sắc,"thêu dệt, tô vẽ (câu chuyện...)",
fairy,'feəri,"(thuộc) tiên, (thuộc) cánh tiên","tưởng tượng, hư cấu","xinh đẹp như tiên, uyển chuyển như tiên"
sectional,'sekʃənl,(thuộc) tầng lớp,(thuộc) mặt cắt; chia theo mắt cắt,(thuộc) đoạn
jewelry,'dʤu:əlri,"đồ châu báu; đồ nữ trang, đồ kim hoàn (nói chung)",nghệ thuật làm đồ kim hoàn,nghề bán đồ châu báu; nghề bán đồ kim hoàn
fuller,'fulə,thợ chuội và hồ vải,,
thirty,'θə:ti,số ba mươi,(số nhiều) (the thirties) những năm ba mươi (từ 30 đến 39 của (thế kỷ)); những năm tuổi trên 40 (từ 40 đến 49),
arterial,'ɑ:tiəriə,(giải phẫu) (thuộc) động mạch,chia làm nhiều nhánh,"chính (đường, trục giao thông...)"
spell,spel,lời thần chú,bùa mê,sự làm say mê; sức quyến rũ
album,'ælbəm,"tập ảnh, quyển anbom",,
coated,,xem coat,,
celebrate,'selibretid,"kỷ niệm, làm lễ kỷ niệm","tán dương, ca tụng",
bucket,'bʌkit,"thùng, xô (để múc nước)",pittông (ống bơm),gầu (ở guồng nước)
yellowish,'jelouiʃ,"hơi vàng, vàng vàng",,
salad,'sæləd,rau xà lách,món rau trộn dầu giấm,
hiding,'haidiɳ,"sự đánh đập, sự đánh đòn",sự ẩn náu; sự trốn tránh,
howe,,thung lũng,,
theatrical,θi'ætrikəl,"(thuộc) sự diễn kịch, (thuộc ngành) sân khẩu","có tính chất tuồng, có vẻ sân khấu, có vẻ đóng kịch, không tự nhiên, màu mè, điệu bộ",
sided,,(trong tính từ ghép) có một số hoặc loại cạnh được nói rõ,,
saturated,'sætʃəreitid,"no, bão hoà",thấm đẫm,"thẫm, đậm, không hoà màu trắng (màu sắc)"
garbage,'gɑ:bidʤ,"lòng, ruột (thú...)",rác (nhà bếp),văn chương sọt rác ((cũng) literary garbage)
dos,,hệ điều hành MS-DOS,,
pigment,'pigmənt,"chất màu, chất nhuộm","(sinh vật học) chất sắc, sắc tố (của tế bào)",
monkey,'mʌɳki,con khỉ,"(thông tục) thằng nhãi, thằng ranh, thằng nhóc",cái vồ (để nện cọc)
caps,,những chữ cái hoa,,
taxi,'tæksi,xe tắc xi,đi tắc xi,(hàng không) chạy trên đất; trượt trên nước (khi cất cánh hoặc sau khi hạ cánh)
specialization,",speʃəlai'zeiʃn","sự chuyên môn hoá, sự chuyên khoa",(sinh vật học) sự chuyên hoá,
basketball,,<thể> bóng rổ,,
surveyor,sə:'veiə,"viên thanh tra, người kiểm sát","(từ Mỹ,nghĩa Mỹ) nhân viên thuế quan (chuyên kiểm sát số lượng và giá trị hàng nhập)",người chuyên vẽ bản đồ địa hình
ribbon,'ribən,"dải, băng, ruy băng","mảnh dài, mảnh","dây dải (huân chương, phù hiệu của trường đại học, câu lạc bộ, hội thể thao...)"
fifteenth,'fif'ti:nθ,số mười lăm,nhóm mười lăm người,"(thể dục,thể thao) một bên đội bóng bầu dục (gồm 15 cầu thủ)"
bicycle,'baisikl,xe đạp,đi xe đạp,
brightness,'braitnis,sự sáng ngời; sự rực rỡ,"sự sáng dạ, sự thông minh, sự nhanh trí",
repeating,,tuần hoàn,liên châu,đánh theo định kỳ
delicious,di'liʃəs,"thơm tho, ngon ngọt, ngọt ngào","vui thích, khoái",
catching,'kætʃiɳ,"truyền nhiễm, hay lây","hấp dẫn, lôi cuốn, quyến rũ",
legion,'li:dʤən,"quân đoàn ((từ cổ,nghĩa cổ) La-mâ, từ ba đến sáu nghìn người)","nhiều, vô số; đoàn, lũ",đội lính lê dương (Pháp)
meta,,tiền tố,sau,siêu
favourite,'feivərit,"được mến chuộng, được ưa thích",người được ưa chuộng; vật được ưa thích,"(thể dục,thể thao) (the favourite) người dự cuộc ai cũng chắc sẽ thắng; con vật (ngựa, chó...) dự cuộc ai cũng chắc sẽ thắng"
bat,bæt,"(thể dục,thể thao) gây (đánh bóng chày,  crikê); (từ cổ,nghĩa cổ) vợt (quần vợt)","vận động viên bóng chày, vận động viên crikê ((cũng) bat sman)",(từ lóng) cú đánh bất ngờ
sunny,'sʌni,"nắng, có nhiều ánh nắng","vui vẻ, hớn hở, tươi sáng",chưa đến 40 (50...) tuổi
awake,ə'weik,"đánh thức, làm thức dậy","(nghĩa bóng) làm thức tỉnh, làm tỉnh ngộ, làm cho nhận thức ra","(nghĩa bóng) khêu gợi, gợi"
presume,pri'zju:m,"cho là, coi như là, cầm bằng là; đoán chừng","dám, đánh bạo, mạo muội; may","(+ on,  upon) lợi dung, lạm dụng"
fourteenth,'fɔ:'ti:nθ,thứ mười bốn,một phần mười bốn,người thứ mười bốn; vật thứ mười bốn; ngày mười bốn
sung,siɳ,"hát, ca hát",ca ngợi,"hát, hót"
sprang,spriɳ,sự nhảy; cái nhảy,mùa xuân (đen & bóng),suối
skirt,skə:t,vạt áo,"váy, xiêm","khụng (từ lóng) đàn bà, con gái, thị mẹt, cái hĩm"
pardon,'pɑ:dn,"sự tha thứ, sự tha lỗi",(pháp lý) sự ăn xài,"tha thứ, tha lỗi, xá tội"
fortress,'fɔ:tris,pháo đài,(thơ ca) là pháo đài của; bảo vệ,
cation,'kætaiən,(vật lý) cation,,
eldest,'eldist,"cả (anh, chị), nhiều tuổi nhất",,
fruitful,'fru:tful,"ra nhiều quả, có nhiều quả, sai quả","tốt, màu mỡ",sinh sản nhiều
medial,'mi:djəl,ở giữa,trung bình; vừa,
hurry,'hʌri,"sự vội vàng, sự hấp tấp, sự hối hả, sự gấp rút","sự sốt ruột (muốn làm vội việc gì, mong có cái gì ngay...)","vội vàng, hối hả, gấp rút"
righteous,'raitʃəs,"ngay thẳng, đạo đức, công bằng (người)","chính đáng, đúng lý (hành động)",
periodical,",piəri'ɔdikəl",(thuộc) chu kỳ,"định kỳ, thường kỳ",tuần hoàn
inherently,,vốn đã,,
swim,swim,sự bơi lội,vực sâu nhiều cá (ở sông),"tình hình chung, chiều hướng chung"
computerized,,"(Tech) được điện toán hóa, được dùng máy điện toán (tt)",,
coded,,mã hoá,,
penal,'pi:nl,(thuộc) hình phạt; (thuộc) hình sự,có thể bị hình phạt,"coi như hình phạt, dùng làm nơi hình phạt"
learnt,lə:n,"học, học tập, nghiên cứu","nghe thất, được nghe, được biết","(từ cổ,nghĩa cổ);(đùa cợt), guộc duỵu âm phâng nội động từ"
shy,ʃai,"nhút nhát, bẽn lẽn, e thẹn","khó tìm, khó thấy, khó nắm",(từ lóng) thiếu; mất
rationality,",ræʃə'næliti","sự hợp lý, sự hợp lẽ phải",(toán học) tính hữu t,
cop,kɔp,"suốt chỉ, con chỉ","(từ lóng) cảnh sát, mật thám, cớm","(từ lóng) sự bắt được, sự tóm được"
doctoral,'dɔktərəl,(thuộc) tiến sĩ,,
wording,'wə:diɳ,"sự viết ra, cách viết; cách diễn tả","lời, từ",
trucking,,<Mỹ> việc chở hàng bằng xe tải,,
frog,frɔg,"(động vật học) con ếch, con ngoé",(động vật học) đế guốc (chân ngựa),"quai đeo kiếm, quai đeo lưỡi lê"
grape,greip,quả nho,(như) grape-shot,"(thú y học) bệnh sưng chùm nho ((từ cổ,nghĩa cổ) chân, ngựa, lừa)"
trousers,'trauzəz,quần ((cũng) pair of trousers),,
guitar,,<nhạc> đàn ghita,chơi đàn ghita,
coding,,"(Tech) biên mã, mã hóa, định mã (d)",,
desirability,"di,zaiərə'biliti","sự đáng thèm muốn; sự đáng ao ước, sự đáng khát khao",,
musician,mju:'ziʃn,nhạc sĩ,nhà soạn nhạc,
reasoned,,"trình bày hợp lý, trình bày có biện luận chặt chẽ",,
poster,'poustə,áp phích; quảng cáo,"người dán áp phích, người dán quảng cáo ((cũng) bill-poster)",
tubing,'tju:biɳ,"ống, hệ thống ống",sự đặt ống,
latent,'leitənt,"ngầm, ngấm ngần, âm ỉ, ẩn, tiềm tàng",,
mapped,,được ánh xạ,,
riches,'ritʃiz,"sự giàu có, sự phong phú","của cải, tiền của, tài sản; vật quý báu",
bedding,'bediɳ,"bộ đồ giường (chăn, gối, nệm, khăn trải giường)",ổ rơm (cho súc vật),"nền, lớp dưới cùng"
justly,,xem just,,
knives,naif,con dao,(y học) dao mổ,"(kỹ thuật) dao cắt gọt, dao nạo"
mum,mʌm,"lặng yên, lặng thinh","lặng yên, lặng thinh","ra ý, ra hiệu"
umbrella,ʌm'brelə,"ô, dù; lọng",(nghĩa bóng) cai ô bảo vệ (về mặt chính trị); sự bảo vệ,màn yểm hộ (bằng máy bay chiến đấu)
lazy,'leizi,"lười biếng, biếng nhác",,
haired,,có tóc (dùng trong tính từ ghép),,
unfinished,'ʌn'finiʃt,"chưa xong, chưa hoàn thành; bỏ dở",không hoàn chỉnh,
bike,baik,(thông tục) (viết tắt) của bicycle xe đạp,(thông tục) đi xe đạp,
beet,bi:t,(thực vật học) cây củ cải đường,,
nine,nain,chín,cái kỳ lạ nhất thời,số chín
renewable,ri'nju:əbl,có thể hồi phục lại,"có thể thay mới, có thể đổi mới",
notebook,'noutbuk,"sổ tay, sổ ghi chép",,
flown,flown,"(từ cổ,nghĩa cổ) căng ra, phình ra, phồng ra",,
sailor,'seilə,"lính thuỷ, thuỷ thủ",người hay bị say sóng,người đi biển không bị say sóng
flung,flung,"sự ném, sự vứt, sự quăng, sự liệng, sự lao, sự gieo (quân súc sắc)","sự nhào xuống, sự nhảy bổ",sự lu bù (ăn chơi...)
grower,'grouə,người trồng,cây trồng,
neighbour,'neibə,"người hàng xóm, người láng giềng, người ở bên cạnh; vật ở cạnh",người đồng loại,"ở gần, ở bên, ở cạnh"
paired,,"thành cặp, thành đôi",,
they,ðei,"chúng nó, chúng, họ",người ta,
midway,'mid'wei,"nửa đường, giữa đường","ở nửa đường, nửa chừng",
spy,spai,"gián điệp; người do thám, người trinh sát","làm gián điệp; do thám, theo dõi","xem xét kỹ lưỡng, kiểm soát kỹ lưỡng"
practised,'præktist,"thực hành nhiều, có kinh nghiệm",,
cafe,'kæfei,tiệm cà phê,quán ăn,tiệm rượu
openness,'oupnnis,"sự mở, tình trạng mở","sự không giấu giếm, sự không che đậy; tính chất công khai","sự cởi mở, sự thẳng thắn, sự chân thật"
thirteenth,'θə:ti:nθ,thứ mười ba,một phần mười ba,người thứ mười ba; vật thứ mười ba; ngày mười ba
concerted,kən'sə:tid,"có dự tính, có bàn tính, có phối hợp",(âm nhạc) soạn cho hoà nhạc,
socialization,",souʃəlzai'zeiʃn",sự xã hội hoá,,
rude,ru:d,"khiếm nhã, bất lịch sự, vô lễ, láo xược; thô lỗ",thô sơ,"man rợ, không văn minh"
habitual,hə'bitjuəl,"thường, thường lệ, quen thuộc, thường dùng","quen thói, thường xuyên, nghiện nặng",
cos,kɔs,rau diếp cốt ((cũng) Cos-lettuce),(viết tắt) của cosine,
herring,'heriɳ,(động vật học) cá trích,xếp chật như nêm,
elder,'eldə,nhiều tuổi hơn,người nhiều tuổi hơn,(số nhiều) bậc huynh trưởng
grandparents,"'græn,peərənts",ông bà (nội ngoại),,
gladly,,"vui vẻ, sung sướng",,
richness,'ritʃnis,"sự giàu có, sự phong phú, sự đầy đủ, sự dồi dào",sự màu mỡ (đất đai...),"sự đẹp đẽ, sự nguy nga tráng lệ, sự quý giá"
any,'eni,"một, một (người, vật) nào đó (trong câu hỏi)","tuyệt không, không tí nào (ý phủ định)",bất cứ (ý khẳng định)
homework,'houmwə:k,bài làm ở nhà (cho học sinh),công việc làm ở nhà,
tenor,'tenə,"phương hướng chung, tiến trình","ý nghĩa, tinh thần chung, nội dung chính",kỳ hạn (hối phiếu)
deletion,di'li:ʃn,"sự gạch đi, sự xoá đi, sự bỏ đi",,
unseen,' n'si:n,"không thấy; không nhìn thấy được, vô hình","không xem trước, không chuẩn bị trước",bn dịch ngay không chuẩn bị
gaming,'geimiɳ,sự đánh bạc,,
idealism,ai'diəlaiz,(triết học) chủ nghĩa duy tâm,chủ nghĩa lý tưởng,
where,we,"đâu, ở đâu, ở ni nào, ở chỗ nào, ở phía nào, ở mặt nào","như thế nào, ra làm sao","đâu, từ đâu; ở đâu"
